genome	cluster_id
375.213	1
375.201	1
375.209	1
375.241	1
375.197	1
1404402.5	1
29448.131	1
375.229	1
190045.3	1
2782676.3	1
376.37	1
375.169	1
375.184	1
375.223	1
375.239	1
375.242	2
375.198	2
375.227	2
375.196	2
375.203	2
375.199	2
29448.119	2
375.206	2
375.234	2
375.207	2
375.226	2
375.222	2
375.212	2
375.122	2
375.233	2
1037409.3	2
375.29	2
375.235	2
375.224	2
476282.6	2
375.231	2
375.183	2
375.228	2
375.232	2
375.225	2
1355477.134	3
1355477.144	3
1355477.58	3
375.245	3
375.253	3
375.243	3
375.205	3
1355477.55	3
1355477.38	3
1355477.86	3
1355477.89	3
1355477.87	3
1355477.88	3
375.208	3
375.251	3
375.238	3
375.249	3
1355477.69	3
224911.44	3
375.204	3
224911.5	3
1355477.29	3
2493093.3	3
858423.18	4
2599819.3	5
2599805.3	5
375.246	5
375.248	5
375.247	5
375.202	5
375.244	5
375.252	5
55395.4	6
1420727.4	6
1390131.5	6
1390119.4	6
1390132.4	6
108015.34	6
1390116.7	6
1043588.3	7
2782675.3	7
2782612.3	7
2782611.3	7
2782671.3	7
255045.57	8
2782630.3	8
2782633.3	8
754500.3	9
376.36	10
255045.56	10
2782624.3	11
2782666.3	12
83627.3	13
2876780.6	14
1355477.98	15
1038867.3	16
1855319.3	17
1325090.8	18
1325090.15	18
858423.19	19
1325111.3	19
1325112.3	20
1325095.3	21
2911011.5	22
2911010.5	22
858423.13	23
2597515.4	23
546899.3	23
936455.3	23
858423.14	23
244734.17	24
2171497.4	24
2171499.4	24
2170627.4	24
2171500.4	24
2171498.4	24
241591.3	25
1803665.3	26
1399419.3	27
167468.3	28
2590772.3	29
1325102.3	29
2782634.3	30
1325107.4	31
574727.4	31
993502.5	32
1404888.3	33
1404768.8	34
1404367.7	35
1404367.6	35
1179474.4	35
1325114.3	36
1300039.6	36
1300039.5	36
2782664.3	37
1325115.7	38
574934.3	39
709803.3	40
2035447.3	41
2926010.3	42
2926009.3	42
244734.18	43
244734.9	43
1404864.3	44
335659.3	44
1521768.3	45
2904800.6	46
722472.7	47
931866.3	47
722472.4	47
2840472.3	48
2840473.3	48
2840469.3	48
189873.4	49
1274631.4	50
2782658.3	51
858422.3	52
190148.11	53
722472.8	54
1437360.9	55
288000.8	56
2734909.5	57
114615.4	58
115808.6	59
2898149.3	60
1245469.3	61
1437360.8	62
113395.3	63
255045.4	64
1437360.11	65
722472.6	66
29448.122	67
375.195	67
29448.153	67
29448.123	67
29448.137	67
29448.145	67
29448.141	67
29448.135	67
29448.136	67
398525.22	67
29448.138	67
29448.151	67
29448.152	67
29448.147	67
1325083.3	67
29448.121	67
1275962.8	67
29448.133	67
29448.144	67
29448.134	67
29448.124	67
29448.139	67
29448.132	67
29448.143	67
375.211	67
29448.154	67
29448.149	67
29448.155	67
29448.156	67
29448.148	67
29448.142	67
2817702.3	68
2817703.3	68
2817701.3	68
29448.125	68
2817704.3	68
1783512.3	68
2817705.3	68
2817700.3	68
376.104	69
2715960.3	69
376.105	69
630921.8	70
1904807.3	71
2913970.3	72
1325120.3	73
1437360.5	74
2057741.8	75
1197460.4	76
1619232.5	77
83637.3	78
1325100.3	79
